protocol,num_clients,alpha,seed,rounds,split_point,run_id,run_name,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,1,111.25244140625,0.12923147052213435,2.5351023840306213,3.456225872039795,3.455980062484741,22.988525390625,0.08027085667031668,0.6793593168258667,100.0,0.009900990099009901,0.76,446.0,0.7635688488946052,18.0,8.0,63.0,56441.0,0.8142857142857143,0.876923076923077,56879.0,0.9750806569749386,0.005263530859700601,12.0,0.21575342465753425,0.02889645728731435,57.0,0.1237721021611002,0.9995435553526912,0.8400000000000001,0.0004543295247944919,7.013014554977417,3.5565733909606934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,2,111.25244140625,0.06367595951832115,2.077090054450516,9.569321393966675,2.5562081336975098,22.988525390625,0.05118344375782083,0.7723841667175293,100.0,0.009900990099009901,0.76,390.0,0.7806944520878873,18.0,8.0,64.0,56497.0,0.8142857142857143,0.876923076923077,56879.0,0.979687567751273,0.004274746915266663,11.0,0.24196597353497165,0.026157789403461956,57.0,0.14096916299559473,0.9995435553526912,0.8533333333333334,0.0004567219915093592,13.077222347259521,3.5077130794525146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,3,111.25244140625,0.053434511001215636,1.9475139541626396,15.45115065574646,2.373750925064087,22.988525390625,0.04168072791168516,0.6796809434890747,100.0,0.009900990099009901,0.76,141.0,0.765291110138361,18.0,8.0,64.0,56746.0,0.8142857142857143,0.876923076923077,56879.0,0.9729148428756424,0.0037284174871229643,11.0,0.45714285714285713,0.021786454127312945,57.0,0.3121951219512195,0.9995435553526912,0.8533333333333334,0.0004498211674832625,18.904167890548706,3.4528350830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,4,111.25244140625,0.053541352530791855,2.1383674250159905,21.46359419822693,2.5593090057373047,22.988525390625,0.04222468076190701,0.6737289428710938,100.0,0.009900990099009901,0.7733333333333333,741.0,0.7030291598561919,17.0,28.0,64.0,56146.0,0.7204968944099379,0.6744186046511628,56859.0,0.9783341243752234,0.004707254252709559,11.0,0.14545454545454542,0.03231979214212984,58.0,0.07950310559006211,0.9992099996488887,0.8533333333333334,0.0006423864328667299,24.93908166885376,3.4752984046936035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,5,111.25244140625,0.049469336918441444,1.9509642975292,27.31584668159485,2.376659870147705,22.988525390625,0.04344614986688982,0.6819521188735962,100.0,0.009900990099009901,0.76,255.0,0.7628854164747094,18.0,9.0,64.0,56632.0,0.8085106382978723,0.8636363636363636,56878.0,0.9729866811983992,0.0037799513562587045,11.0,0.3248730964467004,0.023787788350128156,57.0,0.2006269592476489,0.9995259997893332,0.8533333333333334,0.0004610687806886456,30.8251314163208,3.509028434753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,6,111.25244140625,0.04830041939808244,2.072012307267236,33.3715980052948,2.5463547706604004,22.988525390625,0.04544574255306899,0.767929196357727,100.0,0.009900990099009901,0.7733333333333333,406.0,0.7595647061470319,17.0,26.0,64.0,56481.0,0.7295597484276729,0.6904761904761905,56861.0,0.9638500887724787,0.004647914032235303,11.0,0.23486238532110093,0.026438678417190407,58.0,0.13617021276595745,0.9992451107756047,0.8533333333333334,0.0006071534484074297,36.87961006164551,3.5078213214874268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,7,111.25244140625,0.04674549980516043,2.0037215702455606,39.256051540374756,2.376332998275757,22.988525390625,0.04551942052258384,0.5930476188659668,100.0,0.009900990099009901,0.7733333333333333,287.0,0.7716815527805593,17.0,19.0,64.0,56600.0,0.7631578947368421,0.7532467532467533,56868.0,0.9624557456009282,0.004143319572339565,11.0,0.3004694835680751,0.024349566377585057,58.0,0.18233618233618235,0.9993679997191109,0.8533333333333334,0.0005382935143330229,42.746005058288574,3.489762544631958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,8,111.25244140625,0.04666427136801979,2.0729877964394303,45.29778075218201,2.5515875816345215,22.988525390625,0.04620251584870922,0.7640800476074219,100.0,0.009900990099009901,0.76,193.0,0.7876351072151786,18.0,10.0,63.0,56694.0,0.8028169014084509,0.8507462686567164,56877.0,0.956972126027622,0.003495530873135641,12.0,0.3806646525679758,0.024454899757733226,57.0,0.24609375,0.9995084442259752,0.8400000000000001,0.000476458053831567,48.79623079299927,3.4982354640960693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,9,111.25244140625,0.045557718873397914,1.9347128094703692,51.15315818786621,2.3568270206451416,22.988525390625,0.04334074861897613,0.6797260046005249,100.0,0.009900990099009901,0.76,198.0,0.8004162542223501,18.0,10.0,63.0,56689.0,0.8028169014084509,0.8507462686567164,56877.0,0.9549280737836998,0.003792141221104244,12.0,0.375,0.024542677574523365,57.0,0.2413793103448276,0.9995084442259752,0.8400000000000001,0.000471497753059657,54.648005962371826,3.49465274810791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,2,0.5,10,50,block1_run26228,,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,10,111.25244140625,0.04327079795052276,2.0735941188383396,57.19675159454346,2.5486247539520264,22.988525390625,0.04124870594711309,0.767109751701355,100.0,0.009900990099009901,0.7733333333333333,331.0,0.8033913930407837,17.0,20.0,64.0,56556.0,0.7581699346405227,0.7435897435897436,56867.0,0.9634477707267624,0.00442870286183571,11.0,0.2723404255319149,0.025122011165338295,58.0,0.1620253164556962,0.9993504441557529,0.8533333333333334,0.0005813342557113052,60.644575119018555,3.4476306438446045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
