benchmark,run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,round,eval_auprc,eval_auroc,eval_f1,eval_precision,eval_recall,eval_bmr_risk,eval_bmr_f1,eval_bmr_precision,eval_bmr_recall,eval_brier_score,eval_loss,eval_accuracy,fit_round_time,fit_elapsed_time,fit_train_time,fit_activation_comm_mb,fit_cumulative_activation_comm_mb
stress_non_iid,splitfedv1_c2_alpha0.1_seed10_r5_splitblock1_run26247,splitfedv1,2,0.1,10,5,block1,26247,5,0.6652043139327712,0.9237682891814766,0.0,0.0,0.0,0.1316667251852112,0.0,0.0,0.0,0.0013166208954057135,0.015760153622993527,0.9986833327481479,3.4617743492126465,31.893652200698853,3.3882851459277403,111.25244140625,556.26220703125
stress_non_iid,splitfedv2_c2_alpha0.1_seed10_r5_splitblock1_run26248,splitfedv2,2,0.1,10,5,block1,26248,5,0.7457669898873386,0.960620997181547,0.0,0.0,0.0,0.08075559144692954,0.5576923076923077,1.0,0.38666666666666666,0.001294433074703431,0.008349173658842347,0.9986833327481479,3.4865405559539795,32.08560013771057,3.418880562712283,111.25244140625,556.26220703125
