protocol,num_clients,eval_auprc_mean,eval_auprc_std,eval_auprc_count,eval_auroc_mean,eval_auroc_std,eval_auroc_count,eval_f1_mean,eval_f1_std,eval_f1_count,eval_precision_mean,eval_precision_std,eval_precision_count,eval_recall_mean,eval_recall_std,eval_recall_count,eval_bmr_risk_mean,eval_bmr_risk_std,eval_bmr_risk_count,eval_bmr_f1_mean,eval_bmr_f1_std,eval_bmr_f1_count,eval_bmr_precision_mean,eval_bmr_precision_std,eval_bmr_precision_count,eval_bmr_recall_mean,eval_bmr_recall_std,eval_bmr_recall_count,eval_brier_score_mean,eval_brier_score_std,eval_brier_score_count,eval_loss_mean,eval_loss_std,eval_loss_count,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_count,fit_round_time_mean,fit_round_time_std,fit_round_time_count,fit_elapsed_time_mean,fit_elapsed_time_std,fit_elapsed_time_count,fit_train_time_mean,fit_train_time_std,fit_train_time_count,fit_activation_comm_mb_mean,fit_activation_comm_mb_std,fit_activation_comm_mb_count,fit_cumulative_activation_comm_mb_mean,fit_cumulative_activation_comm_mb_std,fit_cumulative_activation_comm_mb_count,n_runs
splitfedv1,2,0.6652043139327712,,1,0.9237682891814766,,1,0.0,,1,0.0,,1,0.0,,1,0.1316667251852112,,1,0.0,,1,0.0,,1,0.0,,1,0.0013166208954057135,,1,0.015760153622993527,,1,0.9986833327481479,,1,3.4617743492126465,,1,31.893652200698853,,1,3.3882851459277403,,1,111.25244140625,,1,556.26220703125,,1,1
splitfedv2,2,0.7457669898873386,,1,0.960620997181547,,1,0.0,,1,0.0,,1,0.0,,1,0.08075559144692954,,1,0.5576923076923077,,1,1.0,,1,0.38666666666666666,,1,0.001294433074703431,,1,0.008349173658842347,,1,0.9986833327481479,,1,3.4865405559539795,,1,32.08560013771057,,1,3.418880562712283,,1,111.25244140625,,1,556.26220703125,,1,1
