timestamp,benchmark,job_id,protocol,num_clients,alpha,seed,split_point,rounds,state,exit_code,elapsed,slurm_out,server_log,client_logs
Mon May  4 04:16:28 +03 2026,main_benchmark,26205,splitfedv2,4,0.5,10,block1,50,COMPLETED,0:0,00:07:14,cc_sfl_4c_26205.out,server_26205.log," client0_26205.log client1_26205.log client2_26205.log client3_26205.log"
Mon May  4 04:16:28 +03 2026,main_benchmark,26206,splitfedv1,4,0.5,10,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26206.out,server_26206.log," client0_26206.log client1_26206.log client2_26206.log client3_26206.log"
Mon May  4 04:23:38 +03 2026,main_benchmark,26206,splitfedv1,4,0.5,10,block2,50,COMPLETED,0:0,00:06:44,cc_sfl_4c_26206.out,server_26206.log," client0_26206.log client1_26206.log client2_26206.log client3_26206.log"
Mon May  4 04:23:39 +03 2026,main_benchmark,26207,splitfedv2,4,0.5,10,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26207.out,server_26207.log," client0_26207.log client1_26207.log client2_26207.log client3_26207.log"
Mon May  4 04:30:49 +03 2026,main_benchmark,26207,splitfedv2,4,0.5,10,block2,50,COMPLETED,0:0,00:06:40,cc_sfl_4c_26207.out,server_26207.log," client0_26207.log client1_26207.log client2_26207.log client3_26207.log"
Mon May  4 04:30:49 +03 2026,main_benchmark,26208,splitfedv1,4,0.5,10,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26208.out,server_26208.log," client0_26208.log client1_26208.log client2_26208.log client3_26208.log"
Mon May  4 04:38:00 +03 2026,main_benchmark,26208,splitfedv1,4,0.5,10,block3,50,COMPLETED,0:0,00:06:14,cc_sfl_4c_26208.out,server_26208.log," client0_26208.log client1_26208.log client2_26208.log client3_26208.log"
Mon May  4 04:38:00 +03 2026,main_benchmark,26209,splitfedv2,4,0.5,10,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26209.out,server_26209.log," client0_26209.log client1_26209.log client2_26209.log client3_26209.log"
Mon May  4 04:45:11 +03 2026,main_benchmark,26209,splitfedv2,4,0.5,10,block3,50,COMPLETED,0:0,00:06:08,cc_sfl_4c_26209.out,server_26209.log," client0_26209.log client1_26209.log client2_26209.log client3_26209.log"
Mon May  4 04:45:11 +03 2026,main_benchmark,26210,splitfedv1,4,100,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26210.out,server_26210.log," client0_26210.log client1_26210.log client2_26210.log client3_26210.log"
Mon May  4 04:51:21 +03 2026,main_benchmark,26210,splitfedv1,4,100,30,block1,50,COMPLETED,0:0,00:05:48,cc_sfl_4c_26210.out,server_26210.log," client0_26210.log client1_26210.log client2_26210.log client3_26210.log"
Mon May  4 04:51:22 +03 2026,main_benchmark,26211,splitfedv2,4,100,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26211.out,server_26211.log," client0_26211.log client1_26211.log client2_26211.log client3_26211.log"
Mon May  4 04:57:32 +03 2026,main_benchmark,26211,splitfedv2,4,100,30,block1,50,COMPLETED,0:0,00:05:47,cc_sfl_4c_26211.out,server_26211.log," client0_26211.log client1_26211.log client2_26211.log client3_26211.log"
Mon May  4 04:57:32 +03 2026,main_benchmark,26212,splitfedv1,4,100,30,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26212.out,server_26212.log," client0_26212.log client1_26212.log client2_26212.log client3_26212.log"
Mon May  4 05:03:43 +03 2026,main_benchmark,26212,splitfedv1,4,100,30,block2,50,COMPLETED,0:0,00:05:08,cc_sfl_4c_26212.out,server_26212.log," client0_26212.log client1_26212.log client2_26212.log client3_26212.log"
Mon May  4 05:03:43 +03 2026,main_benchmark,26213,splitfedv2,4,100,30,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26213.out,server_26213.log," client0_26213.log client1_26213.log client2_26213.log client3_26213.log"
Mon May  4 05:09:54 +03 2026,main_benchmark,26213,splitfedv2,4,100,30,block2,50,COMPLETED,0:0,00:05:08,cc_sfl_4c_26213.out,server_26213.log," client0_26213.log client1_26213.log client2_26213.log client3_26213.log"
Mon May  4 05:09:54 +03 2026,main_benchmark,26214,splitfedv1,4,100,30,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26214.out,server_26214.log," client0_26214.log client1_26214.log client2_26214.log client3_26214.log"
Mon May  4 05:15:04 +03 2026,main_benchmark,26214,splitfedv1,4,100,30,block3,50,COMPLETED,0:0,00:04:38,cc_sfl_4c_26214.out,server_26214.log," client0_26214.log client1_26214.log client2_26214.log client3_26214.log"
Mon May  4 05:15:04 +03 2026,main_benchmark,26215,splitfedv2,4,100,30,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26215.out,server_26215.log," client0_26215.log client1_26215.log client2_26215.log client3_26215.log"
Mon May  4 05:20:15 +03 2026,main_benchmark,26215,splitfedv2,4,100,30,block3,50,COMPLETED,0:0,00:04:38,cc_sfl_4c_26215.out,server_26215.log," client0_26215.log client1_26215.log client2_26215.log client3_26215.log"
Mon May  4 05:20:15 +03 2026,main_benchmark,26216,splitfedv1,4,1.0,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26216.out,server_26216.log," client0_26216.log client1_26216.log client2_26216.log client3_26216.log"
