2026/05/03 18:07:44.410, Tesla T4, 0, 0, 16.07
2026/05/03 18:07:49.449, Tesla T4, 0, 0, 15.39
2026/05/03 18:07:54.488, Tesla T4, 0, 0, 15.29
2026/05/03 18:07:59.526, Tesla T4, 0, 0, 15.29
2026/05/03 18:08:04.566, Tesla T4, 0, 0, 15.29
2026/05/03 18:08:09.605, Tesla T4, 0, 0, 15.29
2026/05/03 18:08:14.645, Tesla T4, 0, 0, 15.39
2026/05/03 18:08:19.687, Tesla T4, 4, 159, 26.80
2026/05/03 18:08:24.722, Tesla T4, 4, 159, 26.90
2026/05/03 18:08:29.759, Tesla T4, 5, 159, 26.90
2026/05/03 18:08:34.794, Tesla T4, 5, 159, 27.00
2026/05/03 18:08:39.840, Tesla T4, 4, 159, 27.00
2026/05/03 18:08:44.874, Tesla T4, 3, 159, 27.00
2026/05/03 18:08:49.909, Tesla T4, 5, 159, 27.09
