2026/05/04 00:42:24.639, Tesla T4, 0, 0, 14.92
2026/05/04 00:42:29.667, Tesla T4, 0, 0, 14.92
2026/05/04 00:42:34.705, Tesla T4, 0, 0, 14.92
2026/05/04 00:42:39.742, Tesla T4, 0, 159, 26.34
2026/05/04 00:42:44.775, Tesla T4, 0, 159, 26.25
2026/05/04 00:42:49.809, Tesla T4, 0, 159, 26.25
2026/05/04 00:42:54.842, Tesla T4, 0, 159, 26.34
2026/05/04 00:42:59.877, Tesla T4, 1, 159, 26.44
2026/05/04 00:43:04.919, Tesla T4, 0, 159, 26.44
2026/05/04 00:43:09.953, Tesla T4, 0, 159, 26.44
2026/05/04 00:43:14.987, Tesla T4, 0, 159, 26.54
2026/05/04 00:43:20.021, Tesla T4, 0, 159, 26.83
2026/05/04 00:43:25.055, Tesla T4, 0, 159, 26.64
2026/05/04 00:43:30.089, Tesla T4, 0, 159, 26.64
2026/05/04 00:43:35.122, Tesla T4, 0, 159, 26.64
2026/05/04 00:43:40.156, Tesla T4, 0, 159, 26.73
2026/05/04 00:43:45.190, Tesla T4, 0, 159, 26.93
2026/05/04 00:43:50.223, Tesla T4, 0, 159, 26.83
2026/05/04 00:43:55.257, Tesla T4, 0, 159, 26.83
2026/05/04 00:44:00.292, Tesla T4, 0, 159, 26.73
2026/05/04 00:44:05.327, Tesla T4, 0, 159, 26.73
2026/05/04 00:44:10.360, Tesla T4, 0, 159, 26.93
2026/05/04 00:44:15.394, Tesla T4, 0, 159, 26.83
2026/05/04 00:44:20.427, Tesla T4, 0, 159, 26.93
2026/05/04 00:44:25.461, Tesla T4, 0, 159, 26.83
2026/05/04 00:44:30.494, Tesla T4, 0, 159, 26.83
2026/05/04 00:44:35.529, Tesla T4, 0, 159, 26.93
2026/05/04 00:44:40.562, Tesla T4, 0, 159, 26.93
2026/05/04 00:44:45.596, Tesla T4, 0, 159, 27.02
2026/05/04 00:44:50.630, Tesla T4, 0, 159, 27.02
2026/05/04 00:44:55.665, Tesla T4, 0, 159, 27.02
