run_name,run_id,role,gpu_log_file,gpu_sample_count,gpu_util_mean_pct,gpu_util_max_pct,gpu_memory_mean_mb,gpu_memory_max_mb,gpu_power_mean_w,gpu_power_max_w
splitfedv2_c3_alpha0.5_seed10_r50_splitblock1_run26231,26231,client1,gpu_client1_26231.csv,73,0.6027397260273972,2,152.46575342465752,159,27.022876712328767,27.88
splitfedv2_c3_alpha0.5_seed10_r50_splitblock1_run26231,26231,client2,gpu_client2_26231.csv,73,1.726027397260274,3,152.43835616438355,159,27.519041095890408,28.74
splitfedv2_c3_alpha0.5_seed10_r50_splitblock1_run26231,26231,server,gpu_server_26231.csv,76,6.75,10,145.32894736842104,161,25.402631578947375,26.8
splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,26237,client0,gpu_client0_26237.csv,66,0.8636363636363636,3,151.77272727272728,159,27.240151515151513,28.06
splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,26237,client1,gpu_client1_26237.csv,66,1.878787878787879,3,151.77272727272728,159,26.94272727272727,27.8
splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,26237,client2,gpu_client2_26237.csv,66,0.8484848484848485,3,151.77272727272728,159,27.320151515151515,28.26
splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,26237,server,gpu_server_26237.csv,70,7.3,17,144.07142857142858,161,25.249714285714276,26.8
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,26233,client0,gpu_client0_26233.csv,81,0.5925925925925926,1,153.11111111111111,159,27.442592592592593,28.45
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,26233,client1,gpu_client1_26233.csv,81,0.6049382716049383,2,153.11111111111111,159,27.081234567901234,27.88
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,26233,client2,gpu_client2_26233.csv,81,1.5802469135802468,3,153.11111111111111,159,27.620370370370363,28.45
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,26233,client3,gpu_client3_26233.csv,81,0.5925925925925926,2,153.11111111111111,159,29.03259259259259,29.89
splitfedv2_c4_alpha0.5_seed10_r50_splitblock1_run26233,26233,server,gpu_server_26233.csv,85,7.1647058823529415,13,146.98823529411766,161,25.519764705882352,26.9
splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,26239,client0,gpu_client0_26239.csv,68,0.8088235294117647,2,151.98529411764707,159,27.315882352941173,28.16
splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,26239,client1,gpu_client1_26239.csv,68,1.2794117647058822,3,151.98529411764707,159,26.998529411764707,27.88
splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,26239,client2,gpu_client2_26239.csv,68,0.75,2,151.98529411764707,159,27.47058823529412,28.45
splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,26239,client3,gpu_client3_26239.csv,68,1.2205882352941178,3,151.98529411764707,159,28.738382352941176,29.71
splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,26239,server,gpu_server_26239.csv,71,8.507042253521126,17,144.3943661971831,161,25.330845070422527,26.7
