benchmark,run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std,fit_cumulative_activation_comm_mb,gpu_logs_found,gpu_process_count,server_gpu_util_mean_pct,server_gpu_util_max_pct,server_gpu_memory_max_mb,client_gpu_util_mean_pct,client_gpu_util_max_pct,client_gpu_memory_max_mb,overall_gpu_util_max_pct,overall_gpu_memory_max_mb,auprc_per_second,f1_per_second,auprc_per_comm_mb,f1_per_comm_mb
client_count_ablation,splitfedv1_c2_alpha0.5_seed10_r50_splitblock1_run26228,splitfedv1,2,0.5,10,50,block1,26228,50,111.25244140625,0.04203402786614625,2.0707190348257623,295.13950753211975,2.545405626296997,22.988525390625,0.05116096715191888,0.7666842937469482,100.0,0.009900990099009901,0.7733333333333333,90.0,0.7597695195276873,17.0,20.0,63.0,56797.0,0.7581699346405227,0.7435897435897436,56867.0,0.9653726393259151,0.0032801061976908746,12.0,0.5526315789473685,0.022646676731856327,58.0,0.4117647058823529,0.9993504441557529,0.8400000000000001,0.0005646664567157874,298.6649284362793,3.525233507156372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,3,5.656716417910448,11,161,1.7619047619047619,3,159,11,161,0.0025742725055031895,0.002568852746892965,0.00013658478140777316,0.00013629722189591965
client_count_ablation,splitfedv1_c2_alpha0.5_seed30_r50_splitblock1_run26234,splitfedv1,2,0.5,30,50,block1,26234,50,111.25244140625,0.06492203943913341,2.5557867543468036,321.76715087890625,2.893270969390869,41.256103515625,0.23146097026885878,1.2132550477981567,100.0,0.009900990099009901,0.7333333333333333,12.0,0.8090326735510032,20.0,8.0,58.0,56875.0,0.7971014492753622,0.8730158730158731,56879.0,0.942810952707414,0.005011421370994131,17.0,0.8000000000000002,0.03005512446894421,55.0,0.8285714285714286,0.9995084442259752,0.7733333333333333,0.00045589275041216226,325.22016859054565,3.4528095722198486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,3,5.180555555555555,11,161,1.536231884057971,3,159,11,161,0.0025143420369081564,0.002477261731342312,0.00014544088441110882,0.00014329599228562768
client_count_ablation,splitfedv1_c3_alpha0.5_seed10_r50_splitblock1_run26230,splitfedv1,3,0.5,10,50,block1,26230,50,111.25244140625,0.03743420345359223,3.0575817090145634,344.30974769592285,3.303098440170288,47.02443796013837,0.4261869073898514,1.4786545979694208,100.0,0.009900990099009901,0.7466666666666667,22.0,0.797983459870971,19.0,12.0,59.0,56865.0,0.7832167832167832,0.8235294117647058,56875.0,0.9329353513690885,0.004263898212558399,16.0,0.7564102564102563,0.028475123766721674,56.0,0.728395061728395,0.9994557775359011,0.7866666666666667,0.0004877429358257355,348.0093102455139,3.6993486881256104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,4,6.909090909090909,12,163,1.0502283105022832,3,159,12,163,0.00231763249577154,0.0022747447275541007,0.0001434545525085693,0.00014079992732146608
client_count_ablation,splitfedv1_c3_alpha0.5_seed30_r50_splitblock1_run26236,splitfedv1,3,0.5,30,50,block1,26236,50,111.25244140625,0.08147853567090767,2.125396922729791,315.4738984107971,2.690161943435669,32.867171629050105,0.1955720499221876,1.010878936624397,100.0,0.009900990099009901,0.7733333333333333,51.0,0.7961173827815786,17.0,14.0,59.0,56836.0,0.7891156462585035,0.8055555555555555,56873.0,0.95390827429817,0.003927719536587136,16.0,0.6378378378378379,0.02898423510410449,58.0,0.5363636363636364,0.9994557775359011,0.7866666666666667,0.0005049145357929928,319.1902370452881,3.716116428375244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,4,6.887323943661972,17,163,1.0398009950248757,3,159,17,163,0.0025235602273025685,0.0025013658823556605,0.0001431190853375473,0.00014186037381003886
client_count_ablation,splitfedv1_c4_alpha0.5_seed10_r50_splitblock1_run26232,splitfedv1,4,0.5,10,50,block1,26232,50,111.25244140625,0.08438744739347552,2.732595605399637,389.66035318374634,3.12701416015625,40.191069253692696,0.5154983709055633,1.259179530104898,100.0,0.009900990099009901,0.76,12.0,0.7809341324273649,18.0,7.0,57.0,56875.0,0.8201438848920863,0.890625,56880.0,0.9282705480455404,0.0056613459107381124,18.0,0.7916666666666666,0.03181068080474703,57.0,0.8260869565217391,0.9995611109160493,0.76,0.0004237765474509676,394.4007601737976,4.740156173706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,5,7.1976744186046515,15,163,0.8597560975609757,3,159,15,163,0.002004140595897657,0.0021047660563643313,0.00014038957213994104,0.0001474383617159905
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,50,111.25244140625,0.07369368264462703,1.346548758798534,319.73565459251404,1.5759272575378418,19.767664875344845,0.214180450989614,0.5922074832252168,100.0,0.009900990099009901,0.76,8.0,0.8104728127239101,18.0,6.0,57.0,56879.0,0.8260869565217391,0.9047619047619048,56881.0,0.9761726463573986,0.004670368471960452,18.0,0.8142857142857143,0.03174045855131491,57.0,0.876923076923077,0.9995786664794073,0.76,0.000416887800015698,324.5850450992584,4.849119424819946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,5,8.083333333333334,17,163,1.0404411764705883,3,159,17,163,0.002534821503584936,0.0025836560441610513,0.0001456997801539264,0.00014850675564146869
client_count_ablation,splitfedv2_c2_alpha0.5_seed10_r50_splitblock1_run26229,splitfedv2,2,0.5,10,50,block1,26229,50,111.25244140625,0.049429762722682076,2.0604888780202475,294.969607591629,2.5274546146392822,22.988525390625,0.007885270861530923,0.7600914239883423,100.0,0.009900990099009901,0.7333333333333333,134.0,0.7860100797777773,20.0,15.0,60.0,56753.0,0.7586206896551724,0.7857142857142857,56872.0,0.9709378241074411,0.0034487236911857,15.0,0.44609665427509293,0.028685790527018012,55.0,0.30927835051546393,0.999385555282469,0.8000000000000002,0.0005160494547600047,298.4276361465454,3.457862138748169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,3,5.567164179104478,11,161,1.753968253968254,3,159,11,161,0.002664715481013114,0.002571860524374584,0.00014130208197545593,0.00013637825472701117
client_count_ablation,splitfedv2_c2_alpha0.5_seed30_r50_splitblock1_run26235,splitfedv2,2,0.5,30,50,block1,26235,50,111.25244140625,0.05139075436754499,2.564786673942028,321.02600932121277,2.90118670463562,41.256103515625,0.02882301969335711,1.220306634902954,100.0,0.009900990099009901,0.76,257.0,0.8153908144060343,18.0,7.0,63.0,56630.0,0.8201438848920863,0.890625,56880.0,0.9678965903164752,0.003143658133988566,12.0,0.3189873417721519,0.02557845581264703,57.0,0.196875,0.9995611109160493,0.8400000000000001,0.00042530245192436394,324.49699807167053,3.4708409309387207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,3,5.375,11,161,1.676470588235294,3,159,11,161,0.002539952498335327,0.002554758371841035,0.000146583895885673,0.0001474383617159905
client_count_ablation,splitfedv2_c3_alpha0.5_seed10_r50_splitblock1_run26231,splitfedv2,3,0.5,10,50,block1,26231,50,111.25244140625,0.04993935530535135,2.9941779214227857,342.7912664413452,3.2261555194854736,47.024437960138364,0.11203011225353059,1.4495604674361668,100.0,0.009900990099009901,0.7733333333333333,93.0,0.8050796216263196,17.0,16.0,61.0,56794.0,0.778523489932886,0.7837837837837838,56871.0,0.9778208260821161,0.0027498829438939313,14.0,0.5327510917030569,0.02621045609353604,58.0,0.3961038961038961,0.999420666409185,0.8133333333333335,0.0004245708943541606,346.4739680290222,3.6825599670410156,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,5562.6220703125,True,4,6.75,10,161,0.958904109589041,3,159,10,161,0.0023486001553778683,0.00227112988616966,0.00014473023898621453,0.00013995620771862895
client_count_ablation,splitfedv2_c3_alpha0.5_seed30_r50_splitblock1_run26237,splitfedv2,3,0.5,30,50,block1,26237,50,111.25244140625,0.05469239910028717,2.105523025027623,310.59590244293213,2.655250310897827,32.867171629050105,0.02020081300952332,0.9986231975632655,100.0,0.009900990099009901,0.7600000000000001,1506.0,0.7952623758887101,18.0,23.0,66.0,55381.0,0.7354838709677418,0.7125,56864.0,0.9658963676528323,0.0057903784631644,9.0,0.08014571948998178,0.04223868543941575,57.0,0.04198473282442748,0.9992802219023208,0.88,0.0007085720987872149,314.2719159126282,3.6758675575256348,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,8.673617379884035e-19,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,1.0842021724855044e-19,5562.6220703125,True,4,7.3,17,161,1.196969696969697,3,159,17,161,0.0025604406549916705,0.0023679767349888887,0.00014296537960631817,0.00013221891792595275
