benchmark,run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std,fit_cumulative_activation_comm_mb
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,35,111.25244140625,0.06384088184036832,1.3512374734655654,222.4047293663025,1.5834097862243652,19.767664875344845,0.1710295276765334,0.5943488903783947,100.0,0.009900990099009901,0.76,8.0,0.802613511387507,18.0,7.0,57.0,56879.0,0.8201438848920863,0.890625,56880.0,0.9797895242615478,0.004173656338709519,18.0,0.8142857142857143,0.03174045855131491,57.0,0.876923076923077,0.9995611109160493,0.76,0.0004278443280108935,227.21928453445435,4.814280271530151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3893.83544921875
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,36,111.25244140625,0.07014936638586476,1.3513034765944665,228.80233120918274,1.5829441547393799,19.767664875344845,0.1915980465982402,0.5945321801380559,100.0,0.009900990099009901,0.76,10.0,0.8175809112021201,18.0,6.0,57.0,56877.0,0.8260869565217391,0.9047619047619048,56881.0,0.985496159052156,0.0038839611063482796,18.0,0.8028169014084509,0.03177556967803097,57.0,0.8507462686567164,0.9995786664794073,0.76,0.000419043855922532,233.57226300239563,4.769689559936523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.087890625
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,37,111.25244140625,0.07647670466051888,1.467447486464027,235.2902295589447,1.7178363800048828,19.767664875344845,0.20396162020464847,0.6620691230514247,100.0,0.009900990099009901,0.76,12.0,0.8016192137572755,18.0,7.0,57.0,56875.0,0.8201438848920863,0.890625,56880.0,0.9853787332782534,0.0038661595351732964,18.0,0.7916666666666666,0.03181068080474703,57.0,0.8260869565217391,0.9995611109160493,0.76,0.00043285897792085085,240.0357084274292,4.7452073097229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.34033203125
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,38,111.25244140625,0.07424746582188993,1.3553860498574968,241.62375020980835,1.587942361831665,19.767664875344845,0.20162237987302886,0.5930034902253175,100.0,0.009900990099009901,0.76,19.0,0.8113929906819815,18.0,8.0,57.0,56868.0,0.8142857142857143,0.876923076923077,56879.0,0.98233773387007,0.003946114360479805,18.0,0.7549668874172185,0.03193356974825322,57.0,0.75,0.9995435553526912,0.76,0.00043445917773057315,246.52445483207703,4.900452613830566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.5927734375
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,39,111.25244140625,0.07504818023526619,1.3322420907639518,248.0856533050537,1.5610904693603516,19.767664875344845,0.1994736137715188,0.5864300375065492,100.0,0.009900990099009901,0.76,15.0,0.8069793070518587,18.0,7.0,57.0,56872.0,0.8201438848920863,0.890625,56880.0,0.9817488471296899,0.0038908748622678777,18.0,0.7755102040816326,0.03186334749482111,57.0,0.7916666666666666,0.9995611109160493,0.76,0.0004323911341735917,252.9262716770172,4.840333461761475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4338.84521484375
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,40,111.25244140625,0.06748976978758003,1.4100972045393734,254.64962601661682,1.7232394218444824,19.767664875344845,0.18382154346765592,0.6316678713030277,100.0,0.009900990099009901,0.76,9.0,0.8142632039974766,18.0,8.0,57.0,56878.0,0.8142857142857143,0.876923076923077,56879.0,0.9810829656453437,0.003852659431280341,18.0,0.8085106382978723,0.03175801411467294,57.0,0.8636363636363636,0.9995435553526912,0.76,0.00043824992454236604,259.50070810317993,4.850832223892212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.09765625
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,41,111.25244140625,0.06956432707487961,1.411504141483735,261.1768972873688,1.6760883331298828,19.767664875344845,0.18453011396805774,0.5927788895377402,100.0,0.009900990099009901,0.76,8.0,0.8140388390687294,18.0,7.0,57.0,56879.0,0.8201438848920863,0.890625,56880.0,0.9806062310662659,0.0039022561137689858,18.0,0.8142857142857143,0.03174045855131491,57.0,0.876923076923077,0.9995611109160493,0.76,0.0004252245029341826,266.08078694343567,4.903633117675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4561.35009765625
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,42,111.25244140625,0.06333950015519384,1.3039960385080454,267.60368251800537,1.5227539539337158,19.767664875344845,0.1700097688123559,0.5578112757060926,100.0,0.009900990099009901,0.76,8.0,0.8073181694169986,18.0,6.0,57.0,56879.0,0.8260869565217391,0.9047619047619048,56881.0,0.9778885627061836,0.004325496520680539,18.0,0.8142857142857143,0.03174045855131491,57.0,0.876923076923077,0.9995786664794073,0.76,0.000416163096437552,272.48562574386597,4.881685495376587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.6025390625
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,43,111.25244140625,0.06994443872638094,1.4073085556481484,274.2151052951813,1.729377269744873,19.767664875344845,0.192315059745371,0.6381597206922741,100.0,0.009900990099009901,0.76,8.0,0.8021943118137299,18.0,7.0,57.0,56879.0,0.8201438848920863,0.890625,56880.0,0.9797568278634252,0.004110626136653385,18.0,0.8142857142857143,0.03174045855131491,57.0,0.876923076923077,0.9995611109160493,0.76,0.0004317065485789917,279.0614790916443,4.846114158630371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4783.85498046875
client_count_ablation,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1,26238,44,111.25244140625,0.07022989641141966,1.4052372822446253,280.730721950531,1.6691431999206543,19.767664875344845,0.18796567553169988,0.6261192670144716,100.0,0.009900990099009901,0.76,8.0,0.8152143807838846,18.0,6.0,57.0,56879.0,0.8260869565217391,0.9047619047619048,56881.0,0.9777250807155706,0.003882272296761342,18.0,0.8142857142857143,0.03174045855131491,57.0,0.876923076923077,0.9995786664794073,0.76,0.00041630535072117856,285.5958876609802,4.8649046421051025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4895.107421875
