protocol,num_clients,alpha,seed,rounds,split_point,run_id,run_name,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,1,111.25244140625,0.1897022320786136,1.9284919796531192,2.666116952896118,2.6658310890197754,19.767664875344845,0.1941626876899126,0.5896170084977165,100.0,0.0099009900990099,0.0,4901.0,0.7220841811173783,75.0,0.0,67.0,51986.0,0.0,0.0,56887.0,0.9426593070473044,0.0119858981142822,8.0,0.0265714852270473,0.1000842667041185,0.0,0.0134863123993558,0.998683332748148,0.8933333333333333,0.0010480027733363,7.367411851882935,4.701002359390259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,2,111.25244140625,0.0816715112226433,1.323082247093062,8.918389320373535,1.5508384704589844,19.767664875344845,0.1641260184990697,0.5812240244994804,100.0,0.0099009900990099,0.7066666666666667,8.0,0.7795931406464499,22.0,6.0,57.0,56879.0,0.7910447761194029,0.8983050847457628,56881.0,0.9684611012475024,0.0040173860305872,18.0,0.8142857142857143,0.0317404585513149,53.0,0.876923076923077,0.9995084442259752,0.76,0.0004661856521893,13.761208772659302,4.842569589614868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,3,111.25244140625,0.0710772359266653,1.408880188193628,15.50200605392456,1.7406485080718994,19.767664875344845,0.1475430457065095,0.6342593126820479,100.0,0.0099009900990099,0.76,8.0,0.8030537656103317,18.0,8.0,57.0,56879.0,0.8142857142857143,0.876923076923077,56879.0,0.9700552557409132,0.0030560819988444,18.0,0.8142857142857143,0.0317404585513149,57.0,0.876923076923077,0.9995435553526912,0.76,0.0004221589159836,20.33261513710022,4.830353498458862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,4,111.25244140625,0.0650049689025157,1.4263448694449248,22.045690298080444,1.7128994464874268,19.767664875344845,0.1211668217090519,0.6412135967444182,100.0,0.0099009900990099,0.76,8.0,0.8129996291691842,18.0,7.0,57.0,56879.0,0.8201438848920863,0.890625,56880.0,0.9763976538283498,0.0030728795128838,18.0,0.8142857142857143,0.0317404585513149,57.0,0.876923076923077,0.9995611109160492,0.76,0.0004236250444831,26.83693814277649,4.790984392166138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,5,111.25244140625,0.0730223034293417,1.3473761340294093,28.417237520217896,1.5801515579223633,19.767664875344845,0.1439281876692418,0.5940316134614239,100.0,0.0099009900990099,0.76,8.0,0.8097112645911317,18.0,8.0,57.0,56879.0,0.8142857142857143,0.876923076923077,56879.0,0.9775780055197144,0.0031315321144737,18.0,0.8142857142857143,0.0317404585513149,57.0,0.876923076923077,0.9995435553526912,0.76,0.0004406445987115,33.300400495529175,4.88291335105896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,6,111.25244140625,0.0640286732794703,1.4073486840529528,35.029794216156006,1.7292158603668213,19.767664875344845,0.1371853215169862,0.6337376841365271,100.0,0.0099009900990099,0.76,11.0,0.8065418532545293,18.0,8.0,59.0,56876.0,0.8142857142857143,0.876923076923077,56879.0,0.97752105050363,0.0032132641227726,16.0,0.8137931034482757,0.0282820125697833,57.0,0.8428571428571429,0.9995435553526912,0.7866666666666666,0.0004490764345985,40.01532697677612,4.985265493392944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,7,111.25244140625,0.0599944336602763,1.3354556765371437,41.57860088348389,1.5631473064422607,19.767664875344845,0.1301158960936741,0.5899298126668575,100.0,0.0099009900990099,0.76,10.0,0.8071410027642382,18.0,8.0,57.0,56877.0,0.8142857142857143,0.876923076923077,56879.0,0.975273905578896,0.0033503585747552,18.0,0.8028169014084509,0.0317755696780309,57.0,0.8507462686567164,0.9995435553526912,0.76,0.0004435676158719,46.35635781288147,4.777503252029419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,8,111.25244140625,0.0750035951586895,1.4226187314878147,48.06031346321106,1.703836441040039,19.767664875344845,0.1742523362839602,0.6387756271423101,100.0,0.0099009900990099,0.76,14.0,0.7981792401278145,18.0,8.0,59.0,56873.0,0.8142857142857143,0.876923076923077,56879.0,0.9743736413123092,0.0033534727219861,16.0,0.7972972972972973,0.0283346792598574,57.0,0.8082191780821918,0.9995435553526912,0.7866666666666666,0.0004483249281385,52.96030116081238,4.89971923828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,9,111.25244140625,0.0672794631546348,1.4084174801884803,54.69154858589173,1.7310922145843506,19.767664875344845,0.1591769411807587,0.6341159655552384,100.0,0.0099009900990099,0.76,16.0,0.8012416394798166,18.0,8.0,59.0,56871.0,0.8142857142857143,0.876923076923077,56879.0,0.9723400191021968,0.003266635320569,16.0,0.7866666666666666,0.0283697903865735,57.0,0.7866666666666666,0.9995435553526912,0.7866666666666666,0.0004395353260565,59.44892072677612,4.757126808166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,10,111.25244140625,0.0645898909695135,1.3506298302814088,61.02807688713074,1.579019546508789,19.767664875344845,0.1489292906099162,0.5935132186729547,100.0,0.0099009900990099,0.76,20.0,0.790015228304635,18.0,8.0,59.0,56867.0,0.8142857142857143,0.876923076923077,56879.0,0.969010611680466,0.0033033537997609,16.0,0.7662337662337663,0.0284400126400056,57.0,0.7468354430379747,0.9995435553526912,0.7866666666666666,0.000446041856759,65.80831956863403,4.779988527297974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,11,111.25244140625,0.0655458203767761,1.4102143747941691,67.54069066047668,1.73223876953125,19.767664875344845,0.1441167764469034,0.6340666988353117,100.0,0.0099009900990099,0.76,18.0,0.7981386084159036,18.0,7.0,58.0,56869.0,0.8201438848920863,0.890625,56880.0,0.971970397454603,0.0033097788978286,17.0,0.7682119205298014,0.0301604578490923,57.0,0.7631578947368421,0.9995611109160492,0.7733333333333333,0.0004332101439873,72.53068232536316,4.98974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.5,30,50,block1_run26238,,splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,12,111.25244140625,0.0602375389113665,1.3540491876478906,74.11658430099487,1.5857784748077393,19.767664875344845,0.1289388963347839,0.5972798881115993,100.0,0.0099009900990099,0.76,30.0,0.8066746624684992,18.0,7.0,59.0,56857.0,0.8201438848920863,0.890625,56880.0,0.9745968909123934,0.0032324123754153,16.0,0.7195121951219513,0.0286155682735858,57.0,0.6629213483146067,0.9995611109160492,0.7866666666666666,0.0004337140537283,78.96001529693604,4.843166828155518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
