protocol,num_clients,alpha,seed,rounds,split_point,run_id,run_name,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,1,111.25244140625,0.1326320640682808,1.918534031136982,2.634528160095215,2.634270191192627,19.767664875344845,0.0900356682133284,0.5929012912225164,100.0,0.0099009900990099,0.76,1405.0,0.7514813721626068,18.0,8.0,67.0,55482.0,0.8142857142857143,0.876923076923077,56879.0,0.976621723768172,0.0049576030291114,8.0,0.0866192630898513,0.038710017204452,57.0,0.045516304347826,0.9995435553526912,0.8933333333333333,0.0004586787459468,7.495131969451904,4.860415458679199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,2,111.25244140625,0.0561044588447396,1.3206718581474497,9.03922986984253,1.543957233428955,19.767664875344845,0.0259680486593298,0.5842011287785775,100.0,0.0099009900990099,0.72,91.0,0.7983078751034011,21.0,6.0,62.0,56796.0,0.8000000000000002,0.9,56881.0,0.9727677676797862,0.0033199673055166,13.0,0.543859649122807,0.0244197886310171,54.0,0.4052287581699346,0.9995259997893332,0.8266666666666668,0.0004277032683658,13.832961559295654,4.793544769287109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,3,111.25244140625,0.0562118648774387,1.4032534307021824,15.559553384780884,1.726419448852539,19.767664875344845,0.0299439755591301,0.6362728352125461,100.0,0.0099009900990099,0.76,37.0,0.7948722692456072,18.0,7.0,60.0,56850.0,0.8201438848920863,0.890625,56880.0,0.9738642103351088,0.0028013553315633,15.0,0.6976744186046512,0.0269829008812892,57.0,0.6185567010309279,0.9995611109160492,0.8000000000000002,0.0004082716488952,20.30823874473572,4.748508930206299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,4,111.25244140625,0.0587643558322813,1.403619457711696,21.989399433135983,1.6809310913085938,19.767664875344845,0.0236960440518354,0.6373294550212932,100.0,0.0099009900990099,0.76,49.0,0.7824511227853053,18.0,8.0,59.0,56838.0,0.8142857142857143,0.876923076923077,56879.0,0.9765108607121722,0.0031588566655796,16.0,0.6448087431693988,0.0289491239773884,57.0,0.5462962962962963,0.9995435553526912,0.7866666666666666,0.0004330659369174,26.873835802078247,4.88425350189209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,5,111.25244140625,0.0575304216311986,1.32631200507122,28.42689037322998,1.552934646606445,19.767664875344845,0.0282426753456759,0.5894429910886294,100.0,0.0099009900990099,0.7466666666666667,56.0,0.7875134235359332,19.0,7.0,59.0,56831.0,0.8115942028985508,0.8888888888888888,56880.0,0.9841086129812904,0.0030746819061391,16.0,0.6210526315789474,0.0290720129208946,56.0,0.5130434782608696,0.9995435553526912,0.7866666666666666,0.0004241211841014,33.20823931694031,4.781179428100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,6,111.25244140625,0.0565852170089851,1.3915579073021376,34.913482666015625,1.7050347328186035,19.767664875344845,0.030457267398723,0.6329805685289568,100.0,0.0099009900990099,0.7466666666666667,55.0,0.7982722969355832,19.0,6.0,60.0,56832.0,0.8175182481751825,0.9032258064516128,56881.0,0.982398087436497,0.003411488695946,15.0,0.631578947368421,0.0272989010217337,56.0,0.5217391304347826,0.9995611109160492,0.8000000000000002,0.0004181164836191,39.61838579177856,4.704735279083252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,7,111.25244140625,0.0609899840907941,1.3312883988082649,41.16902160644531,1.5505306720733645,19.767664875344845,0.0322465398076734,0.585131094972429,100.0,0.0099009900990099,0.76,198.0,0.8168335349797339,18.0,8.0,64.0,56689.0,0.8142857142857143,0.876923076923077,56879.0,0.9798196424490656,0.0032324482226968,11.0,0.3798219584569733,0.0227871212387205,57.0,0.2442748091603053,0.9995435553526912,0.8533333333333334,0.0004314816018344,45.97178435325623,4.802607774734497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,8,111.25244140625,0.0575486164375627,1.410253600209468,47.64983558654785,1.6779465675354004,19.767664875344845,0.0249119114203117,0.6357810169175144,100.0,0.0099009900990099,0.76,1164.0,0.8097198062563421,18.0,8.0,65.0,55723.0,0.8142857142857143,0.876923076923077,56879.0,0.972498930628556,0.0057125330990042,10.0,0.0996932515337423,0.0379902391067729,57.0,0.0528885272579332,0.9995435553526912,0.8666666666666667,0.0004552698450916,52.51775121688843,4.867749452590942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,9,111.25244140625,0.0558636612165533,1.3955528842921254,54.22994947433472,1.7120232582092283,19.767664875344845,0.0298031816338218,0.634086558801313,100.0,0.0099009900990099,0.76,77.0,0.775762192767992,18.0,7.0,58.0,56810.0,0.8201438848920863,0.890625,56880.0,0.9584025641476376,0.0031145116513425,17.0,0.5523809523809524,0.031196236087216,57.0,0.4296296296296296,0.9995611109160492,0.7733333333333333,0.0004192722296534,58.99003601074219,4.759925365447998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,0.5,30,50,block1_run26239,,splitfedv2_c4_alpha0.5_seed30_r50_splitblock1_run26239,10,111.25244140625,0.0580636491825135,1.3140753308645097,60.5207257270813,1.5305542945861816,19.767664875344845,0.0335217049566359,0.5855663925101688,100.0,0.0099009900990099,0.76,91.0,0.7665319329051868,18.0,6.0,59.0,56796.0,0.8260869565217391,0.9047619047619048,56881.0,0.944950984700664,0.0033941008603673,16.0,0.5244444444444445,0.0296864576384256,57.0,0.3933333333333333,0.9995786664794072,0.7866666666666666,0.0004146911083826,65.24232292175293,4.721445798873901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
