protocol,num_clients,alpha,seed,rounds,run_id,run_name,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,1,111.25244140625,0.1980257860330973,2.2557943934739657,3.3230583667755127,3.3227531909942627,27.770489822769814,0.1685826971157756,0.8282827351870868,100.0,0.0099009900990099,0.6666666666666666,5374.0,0.8049095053581138,25.0,2.0,70.0,51513.0,0.7874015748031497,0.9615384615384616,56885.0,0.978933206766631,0.0104602981596297,5.0,0.0253669142960681,0.1031213791650574,50.0,0.0128581925055106,0.9995259997893332,0.9333333333333332,0.0004930748788505,8.136090755462646,4.812754154205322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,2,111.25244140625,0.0480060986893114,1.7891874875997016,10.532651901245115,2.3964357376098637,27.770489822769814,0.4993904603283084,0.897658796181992,100.0,0.0099009900990099,0.76,28.0,0.8138106587250644,18.0,5.0,60.0,56859.0,0.8321167883211679,0.9193548387096774,56882.0,0.9806215831385026,0.0034782025465344,15.0,0.7361963190184049,0.026824900811067,57.0,0.6818181818181818,0.9995962220427652,0.8000000000000002,0.0003804430970752,15.42054295539856,4.8876261711120605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,3,111.25244140625,0.0426521734761293,1.6784156972758348,17.641624212265015,2.220909357070923,27.770489822769814,0.4814465290037115,0.8257930825673171,100.0,0.0099009900990099,0.76,26.0,0.8193448079883763,18.0,7.0,60.0,56861.0,0.8201438848920863,0.890625,56880.0,0.9874007535406448,0.003167821042679,15.0,0.7453416149068323,0.0267897896843509,57.0,0.6976744186046512,0.9995611109160492,0.8000000000000002,0.000416551642064,22.62417960166931,4.982274532318115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,4,111.25244140625,0.0412645484892459,1.8282503643428083,25.00969791412353,2.385316133499145,27.770489822769814,0.4679662400942359,0.8954550272621207,100.0,0.0099009900990099,0.76,42.0,0.8201330984384824,18.0,7.0,61.0,56845.0,0.8201438848920863,0.890625,56880.0,0.9896761415906388,0.0029361020238075,14.0,0.6853932584269663,0.0253151223622766,57.0,0.5922330097087379,0.9995611109160492,0.8133333333333335,0.0004105638309684,29.946061611175537,4.936097621917725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,5,111.25244140625,0.0383764782921867,1.7847581123405292,32.33099603652954,2.3848133087158203,27.770489822769814,0.4726067990129511,0.8939099323319978,100.0,0.0099009900990099,0.76,26.0,0.8208494287141048,18.0,7.0,60.0,56861.0,0.8201438848920863,0.890625,56880.0,0.9894450401673494,0.0028192366810597,15.0,0.7453416149068323,0.0267897896843509,57.0,0.6976744186046512,0.9995611109160492,0.8000000000000002,0.0004210160952737,37.17823839187622,4.846975564956665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,6,111.25244140625,0.0385900684244633,1.6721970111193798,39.39495921134949,2.216548442840576,27.770489822769814,0.518975916813274,0.8249259534038786,100.0,0.0099009900990099,0.76,65.0,0.8211587320191382,18.0,7.0,61.0,56822.0,0.8201438848920863,0.890625,56880.0,0.9888853340833582,0.0026628440376315,14.0,0.6069651741293532,0.0257189003195112,57.0,0.4841269841269841,0.9995611109160492,0.8133333333333335,0.0004136856622503,44.40826416015625,5.013038158416748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,7,111.25244140625,0.0372598560738835,1.7962386313193996,46.81079435348511,2.402419328689575,27.770489822769814,0.4885649451837576,0.899441101420039,100.0,0.0099009900990099,0.76,77.0,0.8228220198305207,18.0,7.0,64.0,56810.0,0.8201438848920863,0.890625,56880.0,0.9852083369955644,0.0028155171863689,11.0,0.5925925925925926,0.0206628980723991,57.0,0.4539007092198581,0.9995611109160492,0.8533333333333334,0.0004217585302938,51.60397958755493,4.792941093444824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,8,111.25244140625,0.0365544757864771,1.721618966902034,53.83091282844544,2.226826906204224,27.770489822769814,0.4402407999779184,0.8315883429915214,100.0,0.0099009900990099,0.7733333333333333,94.0,0.8252089641450749,17.0,8.0,64.0,56793.0,0.8226950354609929,0.8787878787878788,56879.0,0.9833993706822296,0.002709205975907,11.0,0.5493562231759657,0.0209613426494856,58.0,0.4050632911392405,0.9995611109160492,0.8533333333333334,0.0004303001029316,58.62874031066895,4.797571182250977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,9,111.25244140625,0.0357105714307501,1.7838313955460074,61.01360678672791,2.3846921920776367,27.770489822769814,0.4285013571622093,0.8941943690142502,100.0,0.0099009900990099,0.7733333333333333,114.0,0.8228540692707742,17.0,7.0,63.0,56773.0,0.8285714285714286,0.8923076923076924,56880.0,0.9829854506887924,0.0027241077821797,12.0,0.5,0.023068010252449,58.0,0.3559322033898305,0.9995786664794072,0.8400000000000001,0.0004217968967571,65.88709425926208,4.873230218887329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,10,111.25244140625,0.0339645129882448,1.7872816535153015,68.27382278442383,2.386593580245972,27.770489822769814,0.4292568619984524,0.8945624555961754,100.0,0.0099009900990099,0.76,94.0,0.8254427600225168,18.0,7.0,62.0,56793.0,0.8201438848920863,0.890625,56880.0,0.9826966911010716,0.0026830128425876,13.0,0.5367965367965368,0.0244724553210912,57.0,0.3974358974358974,0.9995611109160492,0.8266666666666668,0.000421062908088,73.30433487892151,5.030254364013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv1,4,0.1,20,50,25546,splitfedv1_c4_alpha0.1_seed20_r50_run25546,11,111.25244140625,0.0335074269013267,1.6747968495816885,75.52070164680481,2.21626615524292,27.770489822769814,0.4382900975712059,0.8254723460440174,100.0,0.0099009900990099,0.76,84.0,0.8232306121418304,18.0,7.0,62.0,56803.0,0.8201438848920863,0.890625,56880.0,0.982084834848032,0.0027438305939986,13.0,0.5610859728506787,0.0242968996875109,57.0,0.4246575342465753,0.9995611109160492,0.8266666666666668,0.0004023905573503,80.33017253875732,4.809193849563599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
