protocol,num_clients,alpha,seed,rounds,run_id,run_name,round,fit_activation_comm_mb,fit_train_loss,fit_train_time,fit_elapsed_time,fit_round_time,fit_activation_comm_mb_std,fit_train_loss_std,fit_train_time_std,eval_bmr_cost_ratio_fn_fp,eval_bmr_threshold,eval_recall,eval_bmr_fp,eval_auprc,eval_fn,eval_fp,eval_bmr_tp,eval_bmr_tn,eval_f1,eval_precision,eval_tn,eval_auroc,eval_loss,eval_bmr_fn,eval_bmr_f1,eval_bmr_risk,eval_tp,eval_bmr_precision,eval_accuracy,eval_bmr_recall,eval_brier_score,eval_elapsed_time,eval_round_time,eval_bmr_cost_ratio_fn_fp_std,eval_bmr_threshold_std,eval_recall_std,eval_bmr_fp_std,eval_auprc_std,eval_fn_std,eval_fp_std,eval_bmr_tp_std,eval_bmr_tn_std,eval_f1_std,eval_precision_std,eval_tn_std,eval_auroc_std,eval_loss_std,eval_bmr_fn_std,eval_bmr_f1_std,eval_bmr_risk_std,eval_tp_std,eval_bmr_precision_std,eval_accuracy_std,eval_bmr_recall_std,eval_brier_score_std
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,1,111.25244140625,0.150566238845827,1.7086629873036885,2.329061508178711,2.3287508487701416,1.667533062710042,0.0015404821564618,0.0517172696327454,100.0,0.0099009900990099,0.76,5176.0,0.7719167643021073,18.0,8.0,70.0,51711.0,0.8142857142857143,0.876923076923077,56879.0,0.9857464798635892,0.008380464725004,5.0,0.0263108438263484,0.0996453776201678,57.0,0.0133434998093785,0.9995435553526912,0.9333333333333332,0.0005262469079402,7.226930856704712,4.897663831710815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,2,111.25244140625,0.0650420607614311,1.1021108777551971,8.424054861068726,1.197016954421997,1.667533062710042,0.0003525921507756,0.0483623372434924,100.0,0.0099009900990099,0.7866666666666666,2700.0,0.793175228094062,16.0,22.0,70.0,54187.0,0.7564102564102564,0.728395061728395,56865.0,0.988389848881701,0.006172334907076,5.0,0.0492091388400703,0.0561778027456901,59.0,0.0252707581227436,0.9993328885923948,0.9333333333333332,0.000614148599873,13.216548204421995,4.792342185974121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,3,111.25244140625,0.0591390941583233,1.1202269874778183,14.435536861419678,1.218815565109253,1.667533062710042,0.0009636618994262,0.0504760282124355,100.0,0.0099009900990099,0.8000000000000002,13938.0,0.7709183827645425,15.0,39.0,74.0,42949.0,0.6896551724137931,0.606060606060606,56848.0,0.989389257065176,0.013868353712873,1.0,0.0105061404131468,0.2464449984199993,60.0,0.0052811875535255,0.9990519995786664,0.9866666666666668,0.0011530591559157,19.15937185287476,4.7236645221710205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,4,111.25244140625,0.0566635362832995,1.0971224110839464,20.44163489341736,1.2820940017700195,1.667533062710042,0.0015317442853334,0.117432435343047,100.0,0.0099009900990099,0.7866666666666666,6929.0,0.796383123592068,16.0,28.0,74.0,49958.0,0.728395061728395,0.6781609195402298,56859.0,0.9908860255125658,0.0097819856148557,1.0,0.0209098615428087,0.1233980548435799,59.0,0.0105668999000428,0.9992275552122468,0.9866666666666668,0.0008135388543832,25.332106351852417,4.890296697616577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,5,111.25244140625,0.0623118853485452,1.1018572879848938,26.561267614364624,1.2290115356445312,1.667533062710042,0.0010153330252792,0.0895914027033511,100.0,0.0099009900990099,0.7866666666666666,3637.0,0.8093280984337937,16.0,25.0,72.0,53250.0,0.7421383647798742,0.7023809523809523,56862.0,0.9911281429266208,0.0072492595354019,3.0,0.0380549682875264,0.0691162529405568,59.0,0.0194122404960905,0.9992802219023208,0.96,0.000705764046693,31.442842483520508,4.881415843963623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,6,111.25244140625,0.0524579519903372,1.106183209979392,32.646872997283936,1.203920841217041,1.667533062710042,0.0001244234773274,0.0482994213864497,100.0,0.0099009900990099,0.7866666666666666,1814.0,0.8118198183661299,16.0,25.0,70.0,55073.0,0.7421383647798742,0.7023809523809523,56862.0,0.99100673264542,0.0053557034358462,5.0,0.0714650331801939,0.0406235736104771,59.0,0.0371549893842887,0.9992802219023208,0.9333333333333332,0.0006356791521995,37.36599278450012,4.718910217285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,7,111.25244140625,0.0609350871013817,1.1165789214777149,38.57627058029175,1.2101311683654783,1.667533062710042,0.0004682546622287,0.0466199101119755,100.0,0.0099009900990099,0.7866666666666666,2820.0,0.8171499014653414,16.0,26.0,70.0,54067.0,0.7375000000000002,0.6941176470588235,56861.0,0.9906870345304434,0.0067523200007869,5.0,0.0472175379426644,0.0582844703486534,59.0,0.0242214532871972,0.9992626663389628,0.9333333333333332,0.0007420855000885,43.39337182044983,4.8169591426849365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,8,111.25244140625,0.0499188390986776,1.226340296054525,44.72428631782532,1.3307945728302002,1.667533062710042,0.0022453792980152,0.0653040762044623,100.0,0.0099009900990099,0.8000000000000002,5924.0,0.8115698586529052,15.0,31.0,73.0,50963.0,0.7228915662650602,0.6593406593406593,56856.0,0.9863772039305992,0.0095709698415144,2.0,0.0240447957839262,0.1075102700045644,60.0,0.0121727530431882,0.9991924440855308,0.9733333333333334,0.0008822848557524,49.62791585922241,4.903470754623413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,9,111.25244140625,0.0567853567354956,1.087406790043818,50.93651127815247,1.3084242343902588,1.667533062710042,0.0005736305089997,0.1188999463899769,100.0,0.0099009900990099,0.8000000000000002,7116.0,0.8154129441644337,15.0,32.0,73.0,49771.0,0.718562874251497,0.6521739130434783,56855.0,0.9886757958760348,0.0102902399857048,2.0,0.0200991189427312,0.128436501527334,60.0,0.0101544025594658,0.9991748885221726,0.9733333333333334,0.0008557600732715,55.66854453086853,4.731867074966431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
splitfedv2,4,100.0,20,50,25544,splitfedv2_c4_alpha100_seed20_r50_run25544,10,111.25244140625,0.0531468631538631,1.1099257027311007,56.8942711353302,1.2255892753601074,1.667533062710042,0.001023597157608,0.0832132556766978,100.0,0.0099009900990099,0.8000000000000002,3443.0,0.8132076302018555,15.0,47.0,72.0,53444.0,0.6593406593406593,0.5607476635514018,56840.0,0.9879306930112914,0.0080011124003231,3.0,0.0401114206128133,0.0657104736490994,60.0,0.0204836415362731,0.9989115550718024,0.96,0.0008919298383677,61.63196325302124,4.737545728683472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
